,id_senador,id_ficha,fecha_entrada
0,277,137830,2017-12-06
1,277,137375,2017-11-07
2,277,137300,2017-11-01
3,277,135668,2017-07-12
4,277,135482,2017-06-29
5,277,135165,2017-06-07
6,277,134850,2017-05-16
7,277,134288,2017-04-04
8,277,133711,2017-03-03
9,277,132929,2016-11-30
10,277,132804,2016-11-22
11,277,132655,2016-11-14
12,277,132117,2016-10-18
13,277,132114,2016-10-18
14,277,131029,2016-08-03
15,277,130280,2016-06-15
16,277,128446,2016-03-02
17,277,128332,2016-02-16
18,277,127268,2015-11-10
19,277,125874,2015-08-10
20,277,125290,2015-07-01
21,277,125289,2015-07-01
22,277,125291,2015-07-01
23,277,125293,2015-07-01
24,277,125292,2015-07-01
25,277,124969,2015-06-10
26,277,125032,2015-04-15
