,id_senador,id_ficha,fecha_entrada
0,922,142491,2019-02-12
1,922,142063,2018-12-05
2,922,141926,2018-11-22
3,922,140424,2018-07-10
4,922,139802,2018-05-22
5,922,139128,2018-04-04
6,922,138468,2018-02-21
7,922,138413,2018-02-09
8,922,138322,2018-02-07
9,922,137988,2017-12-20
10,922,137830,2017-12-06
11,922,137606,2017-11-15
12,922,137535,2017-11-14
13,922,137427,2017-11-08
14,922,137375,2017-11-07
15,922,136210,2017-08-09
16,922,135674,2017-07-12
17,922,135696,2017-07-12
18,922,135589,2017-07-05
19,922,135458,2017-06-27
20,922,135253,2017-06-13
21,922,135267,2017-06-13
22,922,135084,2017-06-05
23,922,135085,2017-06-05
24,922,134381,2017-04-18
25,922,133874,2017-03-14
26,922,133569,2017-02-07
27,922,133260,2016-12-21
28,922,132827,2016-11-23
29,922,132647,2016-11-14
30,922,132655,2016-11-14
31,922,131924,2016-10-04
32,922,131898,2016-10-03
33,922,131639,2016-09-13
34,922,130719,2016-07-12
35,922,130248,2016-06-15
36,922,130547,2016-06-15
37,922,130149,2016-06-08
38,922,130072,2016-06-06
39,922,130074,2016-06-06
