,id_senador,id_ficha,fecha_entrada
0,423,143084,2019-04-02
1,423,142063,2018-12-05
2,423,141848,2018-11-14
3,423,140668,2018-08-01
4,423,140544,2018-07-17
5,423,138859,2018-03-13
6,423,138863,2018-03-13
7,423,138864,2018-03-13
8,423,138643,2018-03-06
9,423,137830,2017-12-06
10,423,137658,2017-11-22
11,423,137709,2017-11-15
12,423,137519,2017-11-14
13,423,137375,2017-11-07
14,423,137048,2017-10-11
15,423,137051,2017-10-10
16,423,135482,2017-06-29
17,423,135458,2017-06-27
18,423,135165,2017-06-07
19,423,135084,2017-06-05
20,423,135085,2017-06-05
21,423,134850,2017-05-16
22,423,134536,2017-04-26
23,423,134340,2017-04-05
24,423,133875,2017-03-14
25,423,133711,2017-03-03
26,423,133365,2016-12-28
27,423,132929,2016-11-30
28,423,132939,2016-11-30
29,423,132804,2016-11-22
30,423,132114,2016-10-18
31,423,132117,2016-10-18
32,423,132139,2016-10-14
33,423,131924,2016-10-04
34,423,131639,2016-09-13
35,423,131029,2016-08-03
36,423,130771,2016-07-13
37,423,130280,2016-06-15
38,423,130145,2016-06-08
39,423,130149,2016-06-08
