,id_senador,id_ficha,fecha_entrada
0,11524,142562,2019-03-06
1,11524,142226,2018-12-19
2,11524,139152,2018-04-09
3,11524,138818,2018-03-09
4,11524,136210,2017-08-09
5,11524,135267,2017-06-13
6,11524,134583,2017-04-27
7,11524,132925,2016-11-30
8,11524,132672,2016-11-15
9,11524,132655,2016-11-14
10,11524,130645,2016-07-06
11,11524,130647,2016-07-06
12,11524,130103,2016-06-07
13,11524,129486,2016-05-05
14,11524,128594,2016-03-08
15,11524,126823,2015-10-06
16,11524,126518,2015-09-11
17,11524,123873,2015-03-24
