,id_senador,id_ficha,fecha_entrada
0,898,143141,2019-04-08
1,898,141926,2018-11-22
2,898,141848,2018-11-14
3,898,140668,2018-08-01
4,898,140544,2018-07-17
5,898,140424,2018-07-10
6,898,139576,2018-05-08
7,898,139480,2018-05-02
8,898,139089,2018-04-03
9,898,138859,2018-03-13
10,898,138863,2018-03-13
11,898,138864,2018-03-13
12,898,138643,2018-03-06
13,898,137830,2017-12-06
14,898,137519,2017-11-14
15,898,137427,2017-11-08
16,898,137375,2017-11-07
17,898,137300,2017-11-01
18,898,135668,2017-07-12
19,898,134850,2017-05-16
20,898,134340,2017-04-05
21,898,132655,2016-11-14
22,898,132117,2016-10-18
23,898,132114,2016-10-18
24,898,132139,2016-10-14
25,898,130280,2016-06-15
26,898,130145,2016-06-08
27,898,129868,2016-05-18
28,898,129690,2016-05-17
29,898,128446,2016-03-02
30,898,128447,2016-03-02
31,898,128332,2016-02-16
32,898,127268,2015-11-10
33,898,125462,2015-07-14
