,id_senador,id_ficha,fecha_entrada
0,5246,140419,2018-07-09
1,5246,135668,2017-07-12
2,5246,135482,2017-06-29
3,5246,135165,2017-06-07
4,5246,134850,2017-05-16
5,5246,134776,2017-05-10
6,5246,134288,2017-04-04
7,5246,132939,2016-11-30
8,5246,132804,2016-11-22
9,5246,131029,2016-08-03
10,5246,130766,2016-07-13
11,5246,130280,2016-06-15
12,5246,129690,2016-05-17
13,5246,128594,2016-03-08
14,5246,128446,2016-03-02
15,5246,128332,2016-02-16
16,5246,128171,2016-01-19
17,5246,125462,2015-07-14
18,5246,125290,2015-07-01
19,5246,125289,2015-07-01
20,5246,125291,2015-07-01
21,5246,125293,2015-07-01
22,5246,125292,2015-07-01
23,5246,125018,2015-06-16
24,5246,124969,2015-06-10
